"http_reply_code";"http_method";"duration_milliseconds";"content_type";"server_or_cache_address";"time";"squid_hierarchy";"bytes";"url";"client_address";"etiqueta"
200;"GET";47;"text/html";"91.216.63.240";"08:30:15";"DIRECT";443;"http://eskup.elpais.com/eskupTSUpdate?s=8dfd4c359bfd0fa0b47ef674f2623c97&rnd=0.8036542243789881&t=ev-ultima_hora&u=1";"192.168.4.4";"allow"
200;"GET";51;"text/html";"192.168.4.4";"08:30:15";"DEFAULT_PARENT";523;"http://eskup.elpais.com/eskupTSUpdate?s=8dfd4c359bfd0fa0b47ef674f2623c97&rnd=0.8036542243789881&t=ev-ultima_hora&u=1";"10.159.146.56";"allow"
200;"GET";1544;"text/html";"66.219.34.171";"08:30:16";"DIRECT";9206;"http://forum.pfsense.org/index.php?topic=10536.0";"192.168.4.4";"allow"
200;"GET";1564;"text/html";"192.168.4.4";"08:30:16";"DEFAULT_PARENT";9286;"http://forum.pfsense.org/index.php?topic=10536.0";"10.159.155.5";"allow"
200;"GET";108;"image/gif";"173.194.34.238";"08:30:16";"DIRECT";510;"http://www.google-analytics.com/__utm.gif?utmwv=1.4&utmn=1749794618&utmcs=ISO-8859-1&utmsr=1920x1080&utmsc=24-bit&utmul=es&utmje=1&utmfl=11.2%20r202&utmdt=Multiple%20WAN%20IPs%20to%20DMZ%20and%20NATing&utmhn=forum.pfsense.org&utmhid=1318965793&utmr=https://www.google.es/&utmp=/index.php?topic=10536.0&utmac=UA-4098391-1&utmcc=__utma%3D61176379.2087813401.1366108596.1367228551.1367303018.9%3B%2B__utmz%3D61176379.1367303018.9.9.utmccn%3D(referral)%7Cutmcsr%3Dgoogle.es%7Cutmcct%3D%2F%7Cutmcmd%3Dreferral%3B%2B";"192.168.4.4";"allow"
200;"GET";110;"image/gif";"192.168.4.4";"08:30:16";"DEFAULT_PARENT";560;"http://www.google-analytics.com/__utm.gif?utmwv=1.4&utmn=1749794618&utmcs=ISO-8859-1&utmsr=1920x1080&utmsc=24-bit&utmul=es&utmje=1&utmfl=11.2%20r202&utmdt=Multiple%20WAN%20IPs%20to%20DMZ%20and%20NATing&utmhn=forum.pfsense.org&utmhid=1318965793&utmr=https://www.google.es/&utmp=/index.php?topic=10536.0&utmac=UA-4098391-1&utmcc=__utma%3D61176379.2087813401.1366108596.1367228551.1367303018.9%3B%2B__utmz%3D61176379.1367303018.9.9.utmccn%3D(referral)%7Cutmcsr%3Dgoogle.es%7Cutmcct%3D%2F%7Cutmcmd%3Dreferral%3B%2B";"10.159.155.5";"allow"
200;"GET";629;"text/html";"66.219.34.171";"08:30:16";"DIRECT";5456;"http://doc.pfsense.org/index.php/Multi-WAN_and_Compatibility";"192.168.4.4";"allow"
200;"GET";642;"text/html";"192.168.4.4";"08:30:16";"DEFAULT_PARENT";5506;"http://doc.pfsense.org/index.php/Multi-WAN_and_Compatibility";"10.159.155.5";"allow"
200;"GET";335;"image/gif";"66.219.34.171";"08:30:16";"DIRECT";727;"http://forum.pfsense.org/Themes/slickprographite/images/code_img.gif";"10.159.155.5";"no_label"
200;"GET";1648;"video/x-flv";"74.125.10.183";"08:30:16";"DIRECT";1782199;"http://r18---sn-aigllnez.c.youtube.com/videoplayback?algorithm=throttle-factor&burst=40&cp=U0hVTFNNVV9IU0NONV9LR1lIOnozeHprc3J1RHJO&cpn=tYAYnB4uTVp3PDIQ&expire=1367327739&factor=1.25&fexp=933500%2C907725%2C926504%2C916807%2C914005%2C932000%2C932004%2C906383%2C906387%2C904479%2C904482%2C902000%2C901208%2C929903%2C925714%2C929119%2C931202%2C900821%2C900823%2C912518%2C911416%2C904476%2C908529%2C904830%2C930807%2C919373%2C906836%2C929602%2C930101%2C926403%2C900824%2C912711%2C910075&id=ceb06bd0dd16ad36&ip=95.39.226.109&ipbits=8&itag=34&keepalive=yes&key=yt1&ms=au&mt=1367303354&mv=m&newshard=yes&range=1781760-3563519&ratebypass=yes&signature=7AEF0794327AC6597461DC19550DA6353170918E.A88956F59757AF41648E3AC45F3A83CC47FE70FC&source=youtube&sparams=algorithm%2Cburst%2Ccp%2Cfactor%2Cid%2Cip%2Cipbits%2Citag%2Csource%2Cupn%2Cexpire&sver=3&upn=h4iKyB9XzRQ";"192.168.4.4";"deny"
