@ATTRIBUTE label { deny,allow }

@DATA

200, GET, 92, image, image/jpeg, 90.84.53.49, 9:16:58, DIRECT, 4459, s-msn, 10.159.20.83, deny
200, GET, 89, image, image/gif, 90.84.53.80, 9:16:58, DIRECT, 1081, s-msn, 10.159.20.83, deny
200, GET, 47, image, image/jpeg, 90.84.59.72, 9:17:16, DIRECT, 1149, fbcdn, 10.159.201.18, deny
200, GET, 48, image, image/jpeg, 90.84.59.17, 9:17:16, DIRECT, 1403, fbcdn, 10.159.201.18, deny
200, GET, 51, image, image/jpeg, 90.84.59.17, 9:17:17, DIRECT, 1321, fbcdn, 10.159.201.18, deny
200, GET, 69, image, image/gif, 173.194.34.229, 9:17:38, DIRECT, 510, google-analytics, 192.168.4.4, deny
200, GET, 71, image, image/gif, 192.168.4.4, 9:17:38, DEFAULT_PARENT, 560, google-analytics, 10.159.86.208, deny
200, GET, 122, text, text/plain, 192.168.4.4, 9:17:46, DEFAULT_PARENT, 599, flashscore, 10.159.194.18, deny
200, GET, 771, application, application/javascript, 198.151.161.47, 9:17:46, DIRECT, 32204, omnigroup, 192.168.4.4, deny
200, GET, 426, application, application/x-font-woff, 192.168.4.4, 9:17:48, DEFAULT_PARENT, 71249, omnigroup, 10.159.252.13, deny
200, GET, 992, image, image/png, 198.151.161.47, 9:17:48, DIRECT, 163807, omnigroup, 10.159.252.13, deny
200, GET, 606, text, text/html, 192.168.4.4, 9:17:54, DEFAULT_PARENT, 16923, xatakandroid, 10.159.13.68, deny
200, GET, 646, text, text/html, 50.18.210.131, 9:17:54, DIRECT, 1029, zedo, 192.168.4.4, deny
204, GET, 58, null, null, 90.84.53.64, 9:18:14, DIRECT, 358, scorecardresearch, 192.168.4.4, deny
200, GET, 433, application, application/json, 192.168.4.4, 9:18:15, DEFAULT_PARENT, 4001, bittorrent, 192.168.20.242, deny
200, GET, 119, text, text/html, 192.168.4.4, 9:18:15, DEFAULT_PARENT, 12534, derechoderedes, 10.159.52.182, deny
200, GET, 55, image, image/png, 176.9.71.202, 9:18:25, DIRECT, 6084, androidpit, 10.159.13.68, deny
200, GET, 211, image, image/svg+xml, 192.168.4.4, 9:18:25, DEFAULT_PARENT, 20543, omnigroup, 10.159.252.13, deny
200, GET, 100, image, image/gif, 87.248.121.19, 9:18:27, DIRECT, 464, yahoo, 192.168.4.4, deny
200, GET, 103, image, image/gif, 192.168.4.4, 9:18:27, DEFAULT_PARENT, 544, yahoo, 10.159.20.83, deny
301, GET, 210, text, text/html, 192.168.4.4, 9:18:27, DEFAULT_PARENT, 554, xda-developers, 10.159.13.68, deny
200, GET, 113, text, text/html, 81.30.148.6, 9:18:27, DIRECT, 2122, redintelligence, 192.168.4.4, deny
200, GET, 483, application, application/javascript, 54.235.136.75, 9:18:32, DIRECT, 4264, dropboxusercontent, 192.168.4.4, deny
