@ATTRIBUTE label { deny,allow,no label }

@DATA

200, GET, 544, application, application/octet-stream, 8.27.153.126, "08:30:24", DIRECT, 843271, windowsupdate, 192.168.4.4, no label
204, GET, 103, text, text/html, 173.194.34.228, "08:30:24", DIRECT, 546, youtube, 192.168.4.4, no label
204, GET, 105, text, text/html, 192.168.4.4, "08:30:24", DEFAULT_PARENT, 596, youtube, 10.159.155.5, no label
200, GET, 762, application, application/octet-stream, 192.168.4.4, "08:30:24", DEFAULT_PARENT, 106961, windowsupdate, 10.159.76.30, no label
200, GET, 409, video, video/x-flv, 74.125.10.183, "08:30:25", DIRECT, 1782199, youtube, 192.168.4.4, no label
200, GET, 412, video, video/x-flv, 192.168.4.4, "08:30:25", DEFAULT_PARENT, 1782249, youtube, 10.159.155.5, no label
200, GET, 55349, text, text/plain, 108.160.16.113, "08:30:25", DIRECT, 276, dropbox, 192.168.4.4, no label
200, GET, 55390, text, text/plain, 192.168.4.4, "08:30:25", DEFAULT_PARENT, 326, dropbox, 10.159.74.184, no label
200, GET, 153, image, image/jpeg, 173.194.34.224, "08:30:26", DIRECT, 4982, ytimg, 10.159.155.5, no label
200, GET, 155, image, image/jpeg, 173.194.34.224, "08:30:26", DIRECT, 2585, ytimg, 10.159.155.5, no label
200, GET, 155, image, image/jpeg, 173.194.34.224, "08:30:26", DIRECT, 5112, ytimg, 10.159.155.5, no label
200, GET, 156, image, image/jpeg, 173.194.34.238, "08:30:26", DIRECT, 5259, ytimg, 10.159.155.5, no label
200, GET, 311, image, image/png, 173.194.34.228, "08:30:26", DIRECT, 55499, ytimg, 10.159.155.5, no label
0, GET, 120093, null, null, 77.234.43.53, "08:30:27", DIRECT, 0, avast, 192.168.4.4, no label
403, GET, 241200, text, text/html, 192.168.4.4, "08:30:27", DEFAULT_PARENT, 5225, avast, 10.159.80.136, no label
304, GET, 164, application, application/pkix-crl, 94.245.70.76, "08:30:27", DIRECT, 286, microsoft, 192.168.4.4, no label
304, GET, 166, application, application/pkix-crl, 192.168.4.4, "08:30:27", DEFAULT_PARENT, 336, microsoft, 10.159.49.111, no label
200, GET, 96, image, image/jpeg, 195.53.213.16, "08:30:28", DIRECT, 1559, iberia, 10.159.146.56, no label
304, GET, 52, application, application/octet-stream, 90.84.53.82, "08:30:28", DIRECT, 342, windowsupdate, 192.168.4.4, no label
304, GET, 53, application, application/octet-stream, 192.168.4.4, "08:30:28", DEFAULT_PARENT, 392, windowsupdate, 10.159.49.111, no label
200, GET, 22, image, image/gif, 195.53.213.16, "08:30:28", DIRECT, 461, iberia, 10.159.146.56, no label
200, GET, 122, image, image/jpeg, 195.53.213.16, "08:30:28", DIRECT, 13607, iberia, 10.159.146.56, no label
200, GET, 41, image, image/jpeg, 195.53.213.16, "08:30:28", DIRECT, 3028, iberia, 10.159.146.56, no label
200, GET, 40, image, image/gif, 195.53.213.16, "08:30:28", DIRECT, 1635, iberia, 10.159.146.56, no label
200, GET, 17, image, image/jpeg, 195.53.213.16, "08:30:28", DIRECT, 6384, iberia, 10.159.146.56, no label
200, GET, 20, image, image/jpeg, 195.53.213.16, "08:30:28", DIRECT, 1494, iberia, 10.159.146.56, no label
200, GET, 16, image, image/jpeg, 195.53.213.16, "08:30:28", DIRECT, 1498, iberia, 10.159.146.56, no label
200, GET, 73, image, image/jpeg, 195.53.213.16, "08:30:28", DIRECT, 50638, iberia, 10.159.146.56, no label
200, GET, 56, image, image/jpeg, 195.53.213.16, "08:30:28", DIRECT, 31499, iberia, 10.159.146.56, no label
200, GET, 17, image, image/jpeg, 195.53.213.16, "08:30:28", DIRECT, 1877, iberia, 10.159.146.56, no label
200, GET, 20, image, image/jpeg, 195.53.213.16, "08:30:28", DIRECT, 1843, iberia, 10.159.146.56, no label
200, GET, 20, image, image/jpeg, 195.53.213.16, "08:30:28", DIRECT, 1842, iberia, 10.159.146.56, no label
200, GET, 19, image, image/jpeg, 195.53.213.16, "08:30:28", DIRECT, 1868, iberia, 10.159.146.56, no label
200, GET, 124, image, image/jpeg, 195.53.213.16, "08:30:28", DIRECT, 120199, iberia, 10.159.146.56, no label
200, GET, 20, image, image/jpeg, 195.53.213.16, "08:30:28", DIRECT, 1874, iberia, 10.159.146.56, no label
200, GET, 20, image, image/jpeg, 195.53.213.16, "08:30:28", DIRECT, 1921, iberia, 10.159.146.56, no label
200, GET, 20, image, image/gif, 195.53.213.16, "08:30:28", DIRECT, 3777, iberia, 10.159.146.56, no label
200, GET, 36, image, image/gif, 195.53.213.16, "08:30:28", DIRECT, 440, iberia, 192.168.4.4, no label
200, GET, 40, image, image/gif, 192.168.4.4, "08:30:28", DEFAULT_PARENT, 490, iberia, 10.159.146.56, no label
304, GET, 134, application, application/pkix-crl, 90.84.53.82, "08:30:28", DIRECT, 337, microsoft, 192.168.4.4, no label
304, GET, 137, application, application/pkix-crl, 192.168.4.4, "08:30:28", DEFAULT_PARENT, 387, microsoft, 10.159.49.111, no label
304, GET, 62, application, application/pkix-crl, 90.84.53.82, "08:30:28", DIRECT, 337, microsoft, 192.168.4.4, allow
304, GET, 64, application, application/pkix-crl, 192.168.4.4, "08:30:28", DEFAULT_PARENT, 387, microsoft, 10.159.49.111, allow
304, GET, 67, application, application/pkix-crl, 94.245.70.76, "08:30:28", DIRECT, 286, microsoft, 192.168.4.4, no label
